Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Deceitful Wings of Darkness,2022-01-19,200068,5884.35294117647,"The First Darklord, Darklord Superbia, Dark Honest, Forbidden Droplet, Darklord Morningstar, Darklord Ixchel, Darklord Nasten, Darklord Amdusc, Condemned Darklord, Banishment of the Darklords, Forbidden Lance, Darklord Rebellion",,
Forgotten City Dwellers,2022-01-19,200167,5004.175,"Mermail Abyssgaios, Abyss Dweller, Neptabyss, the Atlantean Prince, Mermail Abyssalacia, Mermail Abyssleed, Mermail Abyssmegalo, Mermail Abyssteus, Poseidra, the Atlantean Dragon, Atlantean Dragoons, Atlantean Marksman, Mermail Abyssgunde, Atlantean Heavy Infantry",,
Rites of the Mirrorworld,2022-01-19,201483,5037.075,"Nekroz of Sophia, Gishki Zielgigas, Nekroz of Areadbhair, Nekroz of Trishula, Evigishki Gustkraken, Nekroz of Brionac, Gishki Shadow, Nekroz of Unicore, Shurit, Strategist of the Nekroz, Gishki Vision, Nekroz Cycle, Nekroz Kaleidoscope",,
Roaring Thunder,2022-01-19,202758,5198.923076923077,"Thunder Dragon Titan, Thunder Dragon Colossus, Watthydra, Wattchimera, Thunder Dragonhawk, Thunder Dragonroar, Thunder Dragondark, Wattgiraffe, Thunder Dragonmatrix, Some Summer Summoner, Thunder Dragon Fusion, Wattrain",,
Scientific Analysis,2022-01-19,202836,5200.923076923077,"Imperion Magnum the Superconductive Battlebot, Water Dragon Cluster, Vola-Chemicritter Methydraco, Mathematician, Berserkion the Electromagna Warrior, Litmus Doom Swordsman, Duoterion, Delta The Magnet Warrior, Catalyst Field, Dimer Synthesis, Magnet Induction, Supervise",,
Bujin's Vault of Heaven,2022-01-19,202960,5637.777777777777,"Bujinki Amaterasu, Bujintei Kagutsuchi, Bujintei Susanowo, Bujintei Tsukuyomi, Bujin Arasuda, Bujin Mahitotsu, Bujin Mikazuchi, Bujin Torifune, Bujin Yamato, Bujingi Crane, Bujingi Quilin, Bujinki Ahashima",,
Pearlescent Cyber Dragons,2022-01-19,204651,5116.275,"Chimeratech Megafleet Dragon, Cyber End Dragon, Cyber Dragon Infinity, Cyber Dragon Sieger, Cyber Eternity Dragon, Cyberdarkness Dragon, Chimeratech Overdragon, Cyber Twin Dragon, Chimeratech Rampage Dragon, Cyberdark Cannon, Cyberdark Claw, Cyber Dragon Core, Cyber Emergency",,
Timeworn Legacies,2022-01-19,205834,5717.611111111111,"Number 6: Chronomaly Atlandis, Chronomaly Vimana, Number 33: Chronomaly Machu Mech, Rank-Up-Magic Argent Chaos Force, Number C6: Chronomaly Chaos Atlandis, Chronomaly Nebra Disk, Number 36: Chronomaly Chateau Huyuk, Chronomaly Crystal Chrononaut, Chronomaly Crystal Skull, Chronomaly Technology, Piri Reis Map, Marshalling Field",,
Scrap Iron Soldiers,2022-01-19,206125,5153.125,"Satellite Warrior, Junk Destroyer, Junk Archer, Junk Speeder, Junk Collector, Armory Arm, Junk Anchor, Junk Converter, Satellite Synchron, Tuningware, Junk Connector, Scrap-Iron Scarecrow",,
Pledge of Sword,2022-01-19,208622,4851.674418604651,"Arcana Triumph Joker, XX-Saber Gottoms, Royal Straight Slasher, M-X-Saber Invoker, Arcana Extra Joker, Gottoms' Emergency Call, Arcana Knight Joker, XX-Saber Faultroll, XX-Saber Hyunlei, X-Saber Wayne, XX-Saber Darksoul, Face Card Fusion, Joker's Straight, Joker's Wild",,
